state,date,total,
NV,01/03/23,2730620.2,0
NV,01/02/23,2602529.8,3122710.726
NV,01/01/23,2881274.4,2848521.338
NV,01/12/22,2953859.8,2779181.347
NV,01/11/22,2822220.6,3210798.939
NV,01/10/22,3150773.7,3061207.725
NV,01/09/22,3856358.5,2835059.581
NV,01/08/22,4474452,3371636.285
NV,01/07/22,4618682.4,4134980.115
NV,01/06/22,3947194.5,4301889.265
NV,01/05/22,3277092.1,3853877.587
NV,01/04/22,2788025.2,3050992.207
NV,01/03/22,2729085.6,2838941.653
NV,01/02/22,2582155.3,2610220.432
NV,01/01/22,2883341.7,2784965.081
NV,01/12/21,2868135.2,2586224.477
NV,01/11/21,2627205.4,3125307.628
NV,01/10/21,2885386.4,2912013.707
NV,01/09/21,3724744.8,2610363.502
NV,01/08/21,4403418,3074580.509
NV,01/07/21,4664472.8,4202942.591
NV,01/06/21,4075649.3,4367268
NV,01/05/21,3193207.2,3836593.893
NV,01/04/21,2703569.2,3115504.179
NV,01/03/21,2644868.2,2740324.304
NV,01/02/21,2440549.4,2538248.5
NV,01/01/21,2800836.2,2665168.713
NV,01/12/20,2834594,2544457.756
NV,01/11/20,2638279.1,3098801.548
NV,01/10/20,3051284.3,2895851.304
NV,01/09/20,3664848.9,2663339.841
NV,01/08/20,4458305.5,3280012.063
NV,01/07/20,4351985.7,4028401.664
NV,01/06/20,3564581.3,4457075.653
NV,01/05/20,3049628.7,3434534.146
NV,01/04/20,2503862.5,2728249.312
NV,01/03/20,2723933.4,2878231.851
NV,01/02/20,2575567,2535374.383
NV,01/01/20,2817028.6,2826540.346
NV,01/12/19,2806967.7,2553788.415
NV,01/11/19,2546848.9,3230504.237
NV,01/10/19,2666852,2841781.286
NV,01/09/19,3498377.1,2506887.22
NV,01/08/19,4272348.6,2936858.047
NV,01/07/19,4128087.2,4155679.813
NV,01/06/19,3650324.2,4376039.978
NV,01/05/19,2785201,3250069.204
NV,01/04/19,2633105.5,2961886.84
NV,01/03/19,2670989.9,2672657.064
NV,01/02/19,2562394.8,2848445.658
NV,01/01/19,2760889,2611449.466
NV,01/12/18,2864828.5,2747742.392
NV,01/11/18,2674407.8,3124921.973
NV,01/10/18,2819167.1,2999011.059
NV,01/09/18,3540458.3,2662378.383
NV,01/08/18,4359270,3059677.575
NV,01/07/18,4424517.4,4083017.738
NV,01/06/18,3674279.4,4470394.353
NV,01/05/18,3092236.8,3656129.515
NV,01/04/18,2601998.8,2763292.31
NV,01/03/18,2634833.5,2907370.595
NV,01/02/18,2446587.3,2685661.651
NV,01/01/18,2647678,2674518.612
NV,01/12/17,2717438.3,2426352.962
NV,01/11/17,2477293.7,3131501.177
NV,01/10/17,2705761.1,2959819.878
NV,01/09/17,3367053.9,2425042.141
NV,01/08/17,4027163.5,2987180.608
NV,01/07/17,4382552.7,4057985.794
NV,01/06/17,3815701.4,4201147.94
NV,01/05/17,2974585.3,3697514.599
NV,01/04/17,2481200.8,3117622.957
NV,01/03/17,2577720,2746392.977
NV,01/02/17,2423590.2,2378398.329
NV,01/01/17,2707725.3,2802282.189
NV,01/12/16,2776918.4,2739946.103
NV,01/11/16,2391616.6,3007006.539
NV,01/10/16,2808874,2832595.97
NV,01/09/16,3207906.5,2564461.172
NV,01/08/16,4039785.2,3258973.885
NV,01/07/16,4150061,3568129.477
NV,01/06/16,3733902.1,4319353.188
NV,01/05/16,2779199.6,3645224.944
NV,01/04/16,2504207.2,3159803.817
NV,01/03/16,2514457.2,2316028.518
NV,01/02/16,2480827.8,2728995.053
NV,01/01/16,2756874.4,2876619.369
NV,01/12/15,2730949.3,2673592.724
NV,01/11/15,2464450,2939466.118
NV,01/10/15,2911689.1,3019019.658
NV,01/09/15,3470047.9,2687826.504
NV,01/08/15,3981324.6,3146520.742
NV,01/07/15,3890843.1,3934495.924
NV,01/06/15,3600697.7,4194704.284
NV,01/05/15,2819723.2,3199551.829
NV,01/04/15,2469608.2,3102041.387
NV,01/03/15,2576870.5,2782112.176
NV,01/02/15,2300604.4,2577872.583
NV,01/01/15,2802882,2632085.13
,,,2627765.574
,,,3391440.356
,,,3580331.464
,,,3559297.612
,,,3301404.721
,,,3099405.769
,,,3093363.032
,,,3109819.39
,,,3118900.068
,,,3121992.894
,,,3122709.459
,,,3122779.638
,,,3122746.422
,,,3122722.475
,,,3122713.332
,,,3122710.933
,,,3122710.58
,,,3122710.631
,,,3122710.691
,,,3122710.718
,,,3122710.725
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
