state,date,total
NV,2023-03-01,2730620.2
NV,2023-02-01,2602529.8
NV,2023-01-01,2881274.4
NV,2022-12-01,2953859.8
NV,2022-11-01,2822220.6
NV,2022-10-01,3150773.7
NV,2022-09-01,3856358.5
NV,2022-08-01,4474452
NV,2022-07-01,4618682.4
NV,2022-06-01,3947194.5
NV,2022-05-01,3277092.1
NV,2022-04-01,2788025.2
NV,2022-03-01,2729085.6
NV,2022-02-01,2582155.3
NV,2022-01-01,2883341.7
NV,2021-12-01,2868135.2
NV,2021-11-01,2627205.4
NV,2021-10-01,2885386.4
NV,2021-09-01,3724744.8
NV,2021-08-01,4403418
NV,2021-07-01,4664472.8
NV,2021-06-01,4075649.3
NV,2021-05-01,3193207.2
NV,2021-04-01,2703569.2
NV,2021-03-01,2644868.2
NV,2021-02-01,2440549.4
NV,2021-01-01,2800836.2
NV,2020-12-01,2834594
NV,2020-11-01,2638279.1
NV,2020-10-01,3051284.3
NV,2020-09-01,3664848.9
NV,2020-08-01,4458305.5
NV,2020-07-01,4351985.7
NV,2020-06-01,3564581.3
NV,2020-05-01,3049628.7
NV,2020-04-01,2503862.5
NV,2020-03-01,2723933.4
NV,2020-02-01,2575567
NV,2020-01-01,2817028.6
NV,2019-12-01,2806967.7
NV,2019-11-01,2546848.9
NV,2019-10-01,2666852
NV,2019-09-01,3498377.1
NV,2019-08-01,4272348.6
NV,2019-07-01,4128087.2
NV,2019-06-01,3650324.2
NV,2019-05-01,2785201
NV,2019-04-01,2633105.5
NV,2019-03-01,2670989.9
NV,2019-02-01,2562394.8
NV,2019-01-01,2760889
NV,2018-12-01,2864828.5
NV,2018-11-01,2674407.8
NV,2018-10-01,2819167.1
NV,2018-09-01,3540458.3
NV,2018-08-01,4359270
NV,2018-07-01,4424517.4
NV,2018-06-01,3674279.4
NV,2018-05-01,3092236.8
NV,2018-04-01,2601998.8
NV,2018-03-01,2634833.5
NV,2018-02-01,2446587.3
NV,2018-01-01,2647678
NV,2017-12-01,2717438.3
NV,2017-11-01,2477293.7
NV,2017-10-01,2705761.1
NV,2017-09-01,3367053.9
NV,2017-08-01,4027163.5
NV,2017-07-01,4382552.7
NV,2017-06-01,3815701.4
NV,2017-05-01,2974585.3
NV,2017-04-01,2481200.8
NV,2017-03-01,2577720
NV,2017-02-01,2423590.2
NV,2017-01-01,2707725.3
NV,2016-12-01,2776918.4
NV,2016-11-01,2391616.6
NV,2016-10-01,2808874
NV,2016-09-01,3207906.5
NV,2016-08-01,4039785.2
NV,2016-07-01,4150061
NV,2016-06-01,3733902.1
NV,2016-05-01,2779199.6
NV,2016-04-01,2504207.2
NV,2016-03-01,2514457.2
NV,2016-02-01,2480827.8
NV,2016-01-01,2756874.4
NV,2015-12-01,2730949.3
NV,2015-11-01,2464450
NV,2015-10-01,2911689.1
NV,2015-09-01,3470047.9
NV,2015-08-01,3981324.6
NV,2015-07-01,3890843.1
NV,2015-06-01,3600697.7
NV,2015-05-01,2819723.2
NV,2015-04-01,2469608.2
NV,2015-03-01,2576870.5
NV,2015-02-01,2300604.4
NV,2015-01-01,2802882
