,0
0,2094.3257013811103
1,2402804.749121281
2,2633349.928499948
3,2825114.278245073
4,3001564.096079822
5,2966911.8676285543
6,3031985.2571632294
7,3612262.5805782843
8,4382323.947015222
9,4585632.294965575
10,4055017.905964775
11,3420595.9740718515
12,5381279.854679791
13,2846455.2987078964
14,2736963.2011681516
15,2936350.9046685197
16,2743104.8371283915
17,2911525.145316913
18,3698072.46477216
19,4458382.814197699
20,4538664.449573196
21,4020672.0550272577
22,3461099.7888096254
23,2790317.4262515195
24,2837898.5211335877
25,2515782.791304858
26,2731085.2590203886
27,2765309.102596088
28,2600426.159095154
29,2908169.4306583134
30,3876462.59606745
31,4387969.277054523
32,4702451.340251794
33,3806098.1272009322
34,2715203.247404116
35,2505041.399310713
36,2452999.3880234933
37,2478753.4291917183
38,2939642.081538355
39,2907282.2990818676
40,2618819.844156511
41,2952917.8057488664
42,3321818.46474698
43,4234204.796723435
44,4194002.62039722
45,3362250.48873977
46,3076299.848761065
47,2312062.127829764
48,2794285.4189152922
49,2539633.164322281
50,2812198.519446373
51,2751885.7840432064
52,2603581.2051955173
53,2807573.6877563377
54,3621424.7468694802
55,4337330.0366551075
56,4220239.48644454
57,3905727.119542951
58,2855138.2848922773
59,2874016.221235616
60,2706009.9486166956
61,2531298.425590181
62,2646674.5553036276
63,2745693.9796504714
64,2520106.4664931195
65,2622865.106083657
66,3443103.3575808466
67,4199876.149404539
68,4102317.670930268
69,3616918.4736030092
70,3205819.3258520993
71,2531349.362054767
72,2516110.1480345777
73,2417631.4192033475
74,2622968.974025968
75,2735668.4230927373
76,2541454.7151537407
77,2653932.6785800336
78,3455510.37151692
79,3914074.7181278076
80,4346397.548567184
81,3597004.2274799957
82,2897375.860523952
83,2301786.2208346534
84,2570716.452159387
85,2377610.9641383314
86,2748909.5452350387
87,2837764.1602888005
88,2371633.5760626392
89,2856220.510701253
90,3321481.2321351497
91,4272228.030085101
92,4140264.5859152526
93,3499759.5864906088
94,2646480.3695046334
95,2504375.7389464937
96,2468841.8308435176
97,2523102.268244831
98,2647649.4617253235
