,,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2023,3,NV,Preliminary,"1,44,791","8,43,920","12,83,732",17.16,"1,06,695","9,44,683","1,73,037",11.29,"87,743","9,41,490","4,619",9.32,68,527,1,12.96,"3,39,297","27,30,620","14,61,389",12.43
2023,2,NV,Preliminary,"1,46,770","8,61,304","12,75,999",17.04,"1,01,270","8,66,253","1,72,914",11.69,"83,159","8,74,460","4,591",9.51,68,513,1,13.21,"3,31,267","26,02,530","14,53,505",12.73
2023,1,NV,Preliminary,"1,65,656","9,85,677","12,78,670",16.81,"1,12,848","9,51,256","1,72,906",11.86,"1,02,832","9,43,731","4,595",10.90,73,611,1,11.91,"3,81,408","28,81,274","14,56,172",13.24
2022,12,NV,Preliminary,"1,47,454","9,84,699","12,73,887",14.97,"1,07,036","9,77,952","1,73,873",10.95,"1,11,395","9,90,678","3,194",11.24,60,531,1,11.21,"3,65,945","29,53,860","14,50,955",12.39
2022,11,NV,Preliminary,"1,29,339","8,48,269","12,75,586",15.25,"99,127","9,70,789","1,74,320",10.21,"82,642","10,02,575","3,218",8.24,65,588,1,11.14,"3,11,174","28,22,221","14,53,125",11.03
2022,10,NV,Preliminary,"1,53,349","10,08,680","12,71,802",15.20,"1,06,338","10,47,610","1,73,730",10.15,"90,393","10,93,892","3,235",8.26,63,592,1,10.67,"3,50,143","31,50,774","14,48,768",11.11
2022,9,NV,Preliminary,"2,10,617","15,27,820","12,69,934",13.79,"1,50,688","12,03,828","1,73,338",12.52,"1,26,956","11,24,033","3,507",11.29,70,678,1,10.27,"4,88,331","38,56,359","14,46,780",12.66
2022,8,NV,Preliminary,"2,53,375","18,66,846","12,70,888",13.57,"1,15,166","13,82,922","1,73,472",8.33,"1,13,754","12,23,962","3,498",9.29,73,722,1,10.05,"4,82,367","44,74,452","14,47,859",10.78
2022,7,NV,Preliminary,"2,74,493","20,34,238","12,69,268",13.49,"1,42,929","14,05,770","1,73,291",10.17,"1,16,857","11,78,008","3,495",9.92,65,666,1,9.75,"5,34,344","46,18,682","14,46,055",11.57
2022,6,NV,Preliminary,"2,08,231","15,81,295","12,69,140",13.17,"1,15,840","12,48,870","1,73,907",9.28,"1,00,633","11,16,332","3,480",9.01,64,697,1,9.24,"4,24,768","39,47,195","14,46,528",10.76
